fontname,ascent,descent
ACaslonPro,0.747,0.275
AGaramond,0.715,0.269
AGaramond-Italic,0.715,0.269
Aptos,0.666,0.185
Arial,0.728,0.21
Arial-Bold,0.729,0.21
Arial-BoldItalic,0.729,0.211
Arial-ExtraBold,0.728,0.21
Arial-Italic,0.728,0.208
Arimo-Bold,0.725,0.212
Arimo-BoldItalic,0.725,0.208
ArTarumianMatenagir-Bold,0.677,0.216
AtkinsonHyperlegible-Bold,0.68,0.203
AtkinsonHyperlegibleNext-Bold,0.708,0.201
Bergamo,0.721,0.25
Bergamo-Bold,0.717,0.248
Bergamo-BoldItalic,0.717,0.25
Bergamo-Italic,0.722,0.25
C059,0.738,0.203
C059-Bold,0.738,0.203
C059-BoldItalic,0.738,0.203
C059-Italic,0.738,0.203
Calibri,0.683,0.178
Carlito-Bold,0.73,0.17
ComputerModernSans-Bold,0.75,0.25
ComputerModernSans-BoldItalic,0.75,0.25
ComputerModernSerif,0.749,0.25
ComputerModernSerif-Bold,0.75,0.25
ComputerModernSerif-BoldItalic,0.75,0.25
ComputerModernSerif-Italic,0.749,0.25
Corbel,0.707,0.239
CormorantGaramond,0.725,0.28
CormorantGaramond-Bold,0.725,0.282
CormorantGaramond-BoldItalic,0.725,0.281
CormorantGaramond-Italic,0.725,0.281
CormorantGaramond-Light,0.725,0.28
CormorantGaramond-LightItalic,0.725,0.281
CormorantGaramond-Medium,0.725,0.281
CormorantGaramond-MediumItalic,0.725,0.281
CormorantGaramond-SemiBold,0.725,0.281
CormorantGaramond-SemiBoldItalic,0.725,0.281
CrimsonText,0.732,0.222
CrimsonText-Bold,0.775,0.213
CrimsonText-BoldItalic,0.775,0.216
CrimsonText-Italic,0.734,0.23
CrimsonText-SemiBold,0.753,0.217
CrimsonText-SemiBoldItalic,0.753,0.223
DeGruyterSans-Bold,0.722,0.228
DeGruyterSans-BoldItalic,0.722,0.228
DeGruyterSerif-Bold,0.722,0.227
DeGruyterSerif-BoldItalic,0.722,0.228
DejaVuMathTeXGyre,0.76,0.222
DejaVuSans,0.76,0.208
DejaVuSans-Bold,0.76,0.216
DejaVuSans-BoldItalic,0.76,0.216
DejaVuSans-ExtraLight,0.76,0.209
DejaVuSans-Italic,0.76,0.208
DejaVuSansCondensed,0.76,0.209
DejaVuSansCondensed-Bold,0.76,0.216
DejaVuSansCondensed-BoldItalic,0.76,0.216
